Current (A),Voltage_B1(V),Voltage_B2(V),Voltage_B3(V)
1.662236,4.045775,4.093484,4.132970
1.660592,4.047423,4.095968,4.136294
1.662236,4.045775,4.093484,4.133801
1.661414,4.044951,4.094312,4.132970
1.660592,4.047423,4.095968,4.135463
1.662236,4.044951,4.094312,4.132970
1.662236,4.044951,4.093484,4.132970
1.661414,4.046599,4.096796,4.135463
1.661414,4.044126,4.093484,4.132970
1.662236,4.044951,4.095140,4.134632
1.661414,4.044126,4.094312,4.132970
1.662236,4.043302,4.093484,4.132970
1.660592,4.045775,4.095968,4.135463
1.662236,4.043302,4.094312,4.132970
1.662236,4.044126,4.093484,4.132970
1.661414,4.046599,4.095968,4.135463
1.662236,4.044126,4.093484,4.132139
1.661414,4.044951,4.094312,4.132970
1.661414,4.045775,4.094312,4.133801
1.661414,4.044951,4.093484,4.132139
1.660592,4.046599,4.095140,4.134632
1.662236,4.044951,4.093484,4.132970
1.662236,4.044951,4.093484,4.132970
1.660592,4.047423,4.095140,4.134632
1.662236,4.044951,4.093484,4.132970
1.661414,4.045775,4.094312,4.133801
1.662236,4.045775,4.094312,4.132970
1.662236,4.044951,4.093484,4.132970
1.662236,4.046599,4.095140,4.134632
1.661414,4.044126,4.093484,4.132139
1.661414,4.045775,4.093484,4.132970
1.661414,4.044951,4.093484,4.133801
1.661414,4.044126,4.092656,4.132139
1.661414,4.045775,4.095140,4.133801
1.662236,4.044126,4.092656,4.132139
1.662236,4.045775,4.093484,4.132970
1.661414,4.044951,4.093484,4.132970
1.662236,4.044126,4.091828,4.132139
1.661414,4.045775,4.093484,4.133801
1.662236,4.044126,4.092656,4.132970
1.661414,4.044951,4.093484,4.133801
1.662236,4.043302,4.092656,4.132970
1.662236,4.043302,4.092656,4.132139
1.661414,4.044126,4.093484,4.132970
1.662236,4.042478,4.092656,4.132139
1.662236,4.043302,4.093484,4.132970
1.662236,4.042478,4.092656,4.132139
1.662236,4.043302,4.093484,4.132970
1.662236,4.044126,4.092656,4.132139
1.662236,4.043302,4.092656,4.132139
1.661414,4.044951,4.093484,4.132970
1.662236,4.043302,4.091828,4.131307
1.661414,4.044951,4.093484,4.132970
1.662236,4.043302,4.092656,4.131307
1.661414,4.044951,4.093484,4.132139
1.661414,4.044126,4.091828,4.131307
1.662236,4.043302,4.091000,4.132139
1.661414,4.044951,4.092656,4.132970
1.662236,4.044126,4.091000,4.132139
1.661414,4.045775,4.092656,4.133801
1.660592,4.044126,4.091000,4.132139
1.662236,4.044951,4.091828,4.132970
1.662236,4.044126,4.091000,4.132139
1.662236,4.043302,4.091000,4.131307
1.661414,4.044126,4.092656,4.132139
1.662236,4.043302,4.092656,4.131307
1.661414,4.043302,4.092656,4.131307
1.662236,4.044126,4.092656,4.132139
1.662236,4.043302,4.091828,4.130476
1.662236,4.044126,4.091828,4.132139
1.662236,4.043302,4.091828,4.131307
1.662236,4.044126,4.091000,4.131307
1.662236,4.043302,4.091000,4.130476
1.662236,4.044126,4.091828,4.131307
1.662236,4.043302,4.091000,4.130476
1.661414,4.044126,4.091000,4.130476
1.662236,4.043302,4.091000,4.130476
1.661414,4.043302,4.091000,4.130476
1.662236,4.044126,4.091828,4.130476
1.663058,4.043302,4.091000,4.131307
1.662236,4.043302,4.091000,4.130476
1.662236,4.043302,4.091000,4.131307
1.662236,4.043302,4.091000,4.130476
1.662236,4.043302,4.091000,4.130476
1.662236,4.042478,4.091000,4.130476
1.662236,4.043302,4.091000,4.130476
1.662236,4.043302,4.091000,4.131307
1.662236,4.042478,4.091000,4.131307
1.662236,4.043302,4.091000,4.130476
1.662236,4.043302,4.091000,4.130476
1.662236,4.043302,4.091000,4.130476
1.662236,4.042478,4.091000,4.130476
1.662236,4.043302,4.091000,4.130476
1.662236,4.043302,4.090172,4.130476
1.662236,4.043302,4.091000,4.130476
1.662236,4.043302,4.091000,4.129645
1.663058,4.042478,4.091000,4.129645
1.662236,4.043302,4.091000,4.130476
1.662236,4.043302,4.091000,4.129645
1.662236,4.043302,4.091000,4.130476
1.662236,4.042478,4.091000,4.129645
1.663058,4.043302,4.091000,4.129645
1.662236,4.043302,4.091000,4.129645
1.663058,4.043302,4.091000,4.129645
1.663058,4.043302,4.091000,4.129645
1.663058,4.043302,4.091000,4.129645
1.662236,4.042478,4.091000,4.128814
1.663058,4.041654,4.091000,4.128814
1.663058,4.041654,4.090172,4.129645
1.662236,4.042478,4.091000,4.129645
1.662236,4.041654,4.090172,4.129645
1.663058,4.041654,4.091000,4.128814
1.663058,4.041654,4.091000,4.128814
1.663880,4.041654,4.091000,4.129645
1.663058,4.041654,4.091000,4.129645
1.663058,4.041654,4.091000,4.128814
1.662236,4.042478,4.090172,4.128814
1.662236,4.042478,4.090172,4.128814
1.663058,4.042478,4.090172,4.128814
1.662236,4.041654,4.090172,4.129645
1.663880,4.041654,4.091000,4.129645
1.663058,4.042478,4.090172,4.129645
1.662236,4.042478,4.091000,4.130476
1.662236,4.042478,4.090172,4.129645
1.662236,4.042478,4.090172,4.129645
1.662236,4.043302,4.090172,4.129645
1.662236,4.042478,4.089344,4.129645
1.662236,4.042478,4.090172,4.128814
1.662236,4.042478,4.090172,4.129645
1.662236,4.043302,4.090172,4.128814
1.662236,4.043302,4.090172,4.128814
1.663058,4.042478,4.090172,4.129645
1.662236,4.042478,4.091000,4.128814
1.662236,4.041654,4.091000,4.128814
1.662236,4.042478,4.091000,4.128814
1.663058,4.043302,4.090172,4.128814
1.663058,4.043302,4.090172,4.129645
1.663058,4.043302,4.090172,4.128814
1.663880,4.042478,4.091000,4.129645
1.663058,4.042478,4.090172,4.128814
1.663058,4.042478,4.090172,4.128814
1.662236,4.043302,4.089344,4.128814
1.663880,4.042478,4.090172,4.127983
1.662236,4.042478,4.089344,4.127983
1.663058,4.042478,4.088515,4.127983
1.663880,4.041654,4.088515,4.127152
1.663880,4.041654,4.088515,4.127152
1.662236,4.042478,4.089344,4.127983
1.663880,4.041654,4.088515,4.127152
1.663880,4.041654,4.088515,4.127152
1.663058,4.041654,4.088515,4.127152
1.663880,4.041654,4.088515,4.125490
1.663058,4.041654,4.088515,4.126321
1.663880,4.041654,4.088515,4.126321
1.663880,4.040830,4.089344,4.127152
1.664703,4.040830,4.088515,4.127152
1.663058,4.041654,4.089344,4.127983
1.663058,4.041654,4.088515,4.127152
1.662236,4.040830,4.088515,4.125490
1.663058,4.041654,4.089344,4.127152
1.662236,4.040830,4.088515,4.125490
1.663058,4.041654,4.088515,4.127152
1.663880,4.040830,4.087687,4.126321
1.663880,4.041654,4.088515,4.127983
1.663880,4.040830,4.087687,4.127152
1.663880,4.041654,4.088515,4.127152
1.663880,4.040830,4.088515,4.127152
1.663880,4.040830,4.088515,4.126321
1.663880,4.041654,4.089344,4.127152
1.664703,4.040830,4.087687,4.125490
1.663880,4.041654,4.088515,4.127152
1.663058,4.040830,4.087687,4.125490
1.663880,4.040830,4.089344,4.126321
1.663058,4.040006,4.087687,4.125490
1.664703,4.040830,4.087687,4.125490
1.663058,4.041654,4.088515,4.125490
